[CV 6/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;8; n_estimators;350;;score;0.618;time;0.2s
[CV 7/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;8; n_estimators;350;;score;0.618;time;0.2s
[CV 8/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;8; n_estimators;350;;score;0.618;time;0.2s
[CV 9/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;8; n_estimators;350;;score;0.618;time;0.2s
[CV 10/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;8; n_estimators;350;;score;0.607;time;0.2s
[CV 1/10] END bootstrap;False; criterion;gini; max_depth;15; max_features;log2; min_impurity_decrease;0.05; min_samples_split;2; n_estimators;500;;score;0.689;time;0.3s
[CV 2/10] END bootstrap;False; criterion;gini; max_depth;15; max_features;log2; min_impurity_decrease;0.05; min_samples_split;2; n_estimators;500;;score;0.685;time;0.2s
[CV 3/10] END bootstrap;False; criterion;gini; max_depth;15; max_features;log2; min_impurity_decrease;0.05; min_samples_split;2; n_estimators;500;;score;0.753;time;0.2s
[CV 4/10] END bootstrap;False; criterion;gini; max_depth;15; max_features;log2; min_impurity_decrease;0.05; min_samples_split;2; n_estimators;500;;score;0.697;time;0.2s
[CV 5/10] END bootstrap;False; criterion;gini; max_depth;15; max_features;log2; min_impurity_decrease;0.05; min_samples_split;2; n_estimators;500;;score;0.618;time;0.2s
[CV 6/10] END bootstrap;False; criterion;gini; max_depth;15; max_features;log2; min_impurity_decrease;0.05; min_samples_split;2; n_estimators;500;;score;0.618;time;0.2s
